Edge,Sources,m(e),m(not e),m(50-50),Remarks
age --> copd,expert1,0,0.8,0.2,
copd --> age,expert1,0,1,0,
age --> death,expert1,0.9,0,0.1,
death --> age,expert1,1,0,0,
age --> gender,expert1,0,1,0,
gender --> age,expert1,0,1,0,
age --> ischemicHd,expert1,0.6,0,0.4,
ischemicHd --> age,expert1,0,0.8,0.2,
age --> lactate,expert1,0,0.8,0.2,
lactate --> age,expert1,0,1,0,
age --> pao2,expert1,0.5,0,0.5,
pao2 --> age,expert1,0,1,0,
age --> peakAirPressure,expert1,0.8,0,0.2,
peakAirPressure --> age,expert1,0,1,0,
age --> peep,expert1,0.8,0,0.2,
peep --> age,expert1,0.5,0.5,0,
age --> sao2,expert1,0.8,0,0.2,
sao2 --> age,expert1,0.5,0.5,0,
age --> smoker,expert1,0.5,0.5,0,
smoker --> age,expert1,0.5,0.5,0,
age --> trauma,expert1,0.5,0,0.5,
trauma --> age,expert1,0.5,0.5,0,
apsiii --> death,expert1,0,1,0,
death --> apsiii,expert1,1,0,0,
apsiii --> hemoglobin,expert1,0,1,0,
hemoglobin --> apsiii,expert1,1,0,0,
apsiii --> lactate,expert1,0,1,0,
lactate --> apsiii,expert1,1,0,0,
apsiii --> oxygenation,expert1,0,1,0,
oxygenation --> apsiii,expert1,1,0,0,
apsiii --> paco2,expert1,0,1,0,
paco2 --> apsiii,expert1,1,0,0,
apsiii --> pao2,expert1,0,1,0,
pao2 --> apsiii,expert1,1,0,0,
apsiii --> peep,expert1,0,1,0,
peep --> apsiii,expert1,1,0,0,
apsiii --> sofa,expert1,0,1,0,
sofa --> apsiii,expert1,0,1,0,
ards --> paco2,expert1,1,0,0,
paco2 --> ards,expert1,0,1,0,
ards --> peep,expert1,1,0,0,
peep --> ards,expert1,0,1,0,
copd --> lactate,expert1,0,0,1,
lactate --> copd,expert1,0,1,0,
copd --> minVentVol,expert1,0.6,0,0.4,
minVentVol --> copd,expert1,0,1,0,
copd --> smoker,expert1,0,1,0,
smoker --> copd,expert1,0.8,0,0.2,
death --> fio2,expert1,1,0,0,
fio2 --> death,expert1,1,0,0,
death --> hemoglobin,expert1,1,0,0,
hemoglobin --> death,expert1,1,0,0,
death --> lactate,expert1,1,0,0,
lactate --> death,expert1,0,0,1,
death --> peakAirPressure,expert1,0,1,0,
peakAirPressure --> death,expert1,0,0,1,
fio2 --> copd,expert1,0,1,0,
copd --> fio2,expert1,0.5,0.5,0,
fio2 --> gender,expert1,0,1,0,
gender --> fio2,expert1,0,1,0,
fio2 --> lactate,expert1,0,0,1,
lactate --> fio2,expert1,0,0,1,
fio2 --> pao2,expert1,1,0,0,
pao2 --> fio2,expert1,0,1,0,
fio2 --> peakAirPressure,expert1,0,0,1,
peakAirPressure --> fio2,expert1,0,0,1,
fio2 --> peep,expert1,0,0,1,
peep --> fio2,expert1,0,0,1,
fio2 --> sofa,expert1,1,0,0,
sofa --> fio2,expert1,0,1,0,
gender --> hemoglobin,expert1,0.5,0,0.5,
hemoglobin --> gender,expert1,0,1,0,
gender --> minVentVol,expert1,0.5,0,0.5,
minVentVol --> gender,expert1,0,1,0,
gender --> peakAirPressure,expert1,0,0,1,
peakAirPressure --> gender,expert1,0,1,0,
gender --> trauma,expert1,0,1,0,
trauma --> gender,expert1,0,1,0,
hemoglobin --> lactate,expert1,0,1,0,
lactate --> hemoglobin,expert1,0,1,0,
hemoglobin --> paco2,expert1,0,1,0,
paco2 --> hemoglobin,expert1,0,1,0,
ischemicHd --> smoker,expert1,0,1,0,
smoker --> ischemicHd,expert1,0.8,0,0.2,
lactate --> peakAirPressure,expert1,0,1,0,
peakAirPressure --> lactate,expert1,0,1,0,
lactate --> sofa,expert1,1,0,0,
sofa --> lactate,expert1,0,1,0,
lactate --> trauma,expert1,0,1,0,
trauma --> lactate,expert1,0.5,0,0.5,
medical --> hemoglobin,expert1,0,1,0,
hemoglobin --> medical,expert1,0,1,0,
medical --> paco2,expert1,0.5,0.5,0,
paco2 --> medical,expert1,0,1,0,
medical --> peep,expert1,0,1,0,
peep --> medical,expert1,0,1,0,
minVentVol --> peep,expert1,0,0,1,
peep --> minVentVol,expert1,0,0,1,
oxygenation --> fio2,expert1,0.5,0,0.5,
fio2 --> oxygenation,expert1,1,0,0,
oxygenation --> gender,expert1,0,1,0,
gender --> oxygenation,expert1,0,1,0,
oxygenation --> lactate,expert1,0,1,0,
lactate --> oxygenation,expert1,0,1,0,
oxygenation --> minVentVol,expert1,0,1,0,
minVentVol --> oxygenation,expert1,0,0,1,
oxygenation --> pao2,expert1,1,0,0,
pao2 --> oxygenation,expert1,0,1,0,
oxygenation --> spo2,expert1,1,0,0,
spo2 --> oxygenation,expert1,0,1,0,
paco2 --> copd,expert1,0,1,0,
copd --> paco2,expert1,0.8,0,0.2,
paco2 --> fio2,expert1,0.5,0,0.5,
fio2 --> paco2,expert1,0,0,1,
paco2 --> ischemicHd,expert1,0,0,1,
ischemicHd --> paco2,expert1,0,0,1,
paco2 --> peakAirPressure,expert1,0,0,1,
peakAirPressure --> paco2,expert1,0,0,1,
paco2 --> ph,expert1,1,0,0,
ph --> paco2,expert1,0,1,0,
paco2 --> sao2,expert1,0,0,1,
sao2 --> paco2,expert1,0,0,1,
paco2 --> smoker,expert1,0,1,0,
smoker --> paco2,expert1,0,0,1,
paco2 --> surgery,expert1,0,1,0,
surgery --> paco2,expert1,0,1,0,
paco2 --> trauma,expert1,0,1,0,
trauma --> paco2,expert1,0,1,0,
pao2 --> hemoglobin,expert1,0,0,1,
hemoglobin --> pao2,expert1,1,0,0,
pao2 --> peakAirPressure,expert1,0,0,1,
peakAirPressure --> pao2,expert1,0,0,1,
pao2 --> peep,expert1,0,0,1,
peep --> pao2,expert1,0.5,0,0.5,
pao2 --> vt,expert1,0,0,1,
vt --> pao2,expert1,0.5,0,0.5,
peakAirPressure --> hemoglobin,expert1,0,0,1,
hemoglobin --> peakAirPressure,expert1,0,0,1,
peakAirPressure --> peep,expert1,0,0,1,
peep --> peakAirPressure,expert1,0,0,1,
peakAirPressure --> ph,expert1,0,0,1,
ph --> peakAirPressure,expert1,0,0,1,
peakAirPressure --> sao2,expert1,0,0,1,
sao2 --> peakAirPressure,expert1,0,0,1,
peep --> copd,expert1,0,1,0,
copd --> peep,expert1,0.8,0,0.2,
peep --> gender,expert1,0,1,0,
gender --> peep,expert1,0,1,0,
peep --> oxygenation,expert1,0.5,0,0.5,
oxygenation --> peep,expert1,0,0,1,
peep --> sao2,expert1,0,0,1,
sao2 --> peep,expert1,0,1,0,
peep --> sofa,expert1,1,0,0,
sofa --> peep,expert1,0,1,0,
ph --> hemoglobin,expert1,0,1,0,
hemoglobin --> ph,expert1,0,1,0,
ph --> lactate,expert1,0,1,0,
lactate --> ph,expert1,1,0,0,
ph --> pao2,expert1,0,1,0,
pao2 --> ph,expert1,0,1,0,
ph --> sao2,expert1,0,1,0,
sao2 --> ph,expert1,0,1,0,
smoker --> fio2,expert1,0,0,1,
fio2 --> smoker,expert1,0,1,0,
smoker --> surgery,expert1,0,1,0,
surgery --> smoker,expert1,0,1,0,
sofa --> copd,expert1,0,1,0,
copd --> sofa,expert1,0.5,0,0.5,
sofa --> gender,expert1,0,1,0,
gender --> sofa,expert1,0,1,0,
sofa --> hemoglobin,expert1,0,1,0,
hemoglobin --> sofa,expert1,1,0,0,
sofa --> pao2,expert1,0,1,0,
pao2 --> sofa,expert1,1,0,0,
sofa --> peakAirPressure,expert1,0,1,0,
peakAirPressure --> sofa,expert1,0,1,0,
sofa --> ph,expert1,0,1,0,
ph --> sofa,expert1,1,0,0,
sofa --> sao2,expert1,0,1,0,
sao2 --> sofa,expert1,1,0,0,
spo2 --> copd,expert1,0,1,0,
copd --> spo2,expert1,0.8,0,0.2,
spo2 --> death,expert1,0,1,0,
death --> spo2,expert1,1,0,0,
spo2 --> fio2,expert1,1,0,0,
fio2 --> spo2,expert1,1,0,0,
spo2 --> hemoglobin,expert1,0,1,0,
hemoglobin --> spo2,expert1,1,0,0,
spo2 --> pao2,expert1,0,1,0,
pao2 --> spo2,expert1,0.9,0,0.1,
spo2 --> peep,expert1,0.5,0,0.5,
peep --> spo2,expert1,0.5,0,0.5,
spo2 --> sao2,expert1,0,0,1,
sao2 --> spo2,expert1,0,0,1,
spo2 --> smoker,expert1,0,1,0,
smoker --> spo2,expert1,0.8,0,0.2,
