Edge,Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP
age --> copd,Simple Average,0.550000012,0.237500025,0.212499963,0.550000012,0.762499975,0.656249994
age --> copd,DST,0.995322611,0.004656601,2.08E-05,0.995322611,0.995343399,0.995333005
age --> copd,Yager,0.784963443,0.046356102,0.168680454,0.784963443,0.953643898,0.86930367
age --> copd,Murphy,0.985497178,0.014466961,3.59E-05,0.985497178,0.985533039,0.985515108
age --> copd,Dubois-Prade,0.784963443,0.046356102,0.168680454,0.784963443,0.953643898,0.86930367
age --> copd,PCR5,0.956330562,0.043668238,1.20E-06,0.956330562,0.956331762,0.956331162
age --> death,Simple Average,0.862499525,0.075000237,0.062500237,0.862499525,0.924999763,0.893749644
age --> death,DST,1,4.56E-12,4.75E-19,1,1,1
age --> death,Yager,0.88892027,0.006827053,0.104252677,0.88892027,0.993172947,0.941046609
age --> death,Murphy,0.999999762,2.38E-07,4.34E-10,0.999999762,0.999999762,0.999999762
age --> death,Dubois-Prade,0.88892027,0.006827053,0.104252677,0.88892027,0.993172947,0.941046609
age --> death,PCR5,0.990192039,0.009807961,2.50E-19,0.990192039,0.990192039,0.990192039
age --> gender,Simple Average,0.01250075,0.831249006,0.156250244,0.01250075,0.168750994,0.090625872
age --> gender,DST,1.73E-26,1,4.16E-28,1.73E-26,1.77E-26,1.75E-26
age --> gender,Yager,6.00E-08,0.997498937,0.002501003,6.00E-08,0.002501063,0.001250561
age --> gender,Murphy,3.34E-07,0.999999273,3.93E-07,3.34E-07,7.27E-07,5.31E-07
age --> gender,Dubois-Prade,6.00E-08,0.997498937,0.002501003,6.00E-08,0.002501063,0.001250561
age --> gender,PCR5,8.18E-06,0.999991824,3.75E-28,8.18E-06,8.18E-06,8.18E-06
age --> ischemicHd,Simple Average,0.762499713,0.068750375,0.168749913,0.762499713,0.931249625,0.846874669
age --> ischemicHd,DST,0.999990253,9.46E-06,2.89E-07,0.999990253,0.999990542,0.999990398
age --> ischemicHd,Yager,0.877518419,0.013863587,0.108617994,0.877518419,0.986136413,0.931827416
age --> ischemicHd,Murphy,0.999982103,1.67E-05,1.16E-06,0.999982103,0.999983266,0.999982684
age --> ischemicHd,Dubois-Prade,0.877518419,0.013863587,0.108617994,0.877518419,0.986136413,0.931827416
age --> ischemicHd,PCR5,0.988333119,0.011666721,1.60E-07,0.988333119,0.988333279,0.988333199
age --> lactate,Simple Average,0.312500187,0.362499962,0.32499985,0.312500187,0.637500038,0.475000112
age --> lactate,DST,0.275980554,0.724019443,2.56E-09,0.275980554,0.275980557,0.275980556
age --> lactate,Yager,0.325149048,0.329632949,0.345218003,0.325149048,0.670367051,0.49775805
